pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,habitability_score
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,34.14189,0.0002635,-0.0002635,0.0,0.1492,,,0.0,1.08,0.18,-0.17,0.0,0.09635131,0.01605855,-0.01516641,0.0,,,,,,,,,,0.0,,,0.0,0.84,0.39,-0.29,0.0,244.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,3517.0,70.0,-57.0,0.0,0.37,0.06,-0.06,0.0,0.38,0.06,-0.06,0.0,-0.07,0.11,-0.11,0.0,[Fe/H],4.881,0.098,-0.098,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2015-08-25,2015-09-24,2015-08-25,79.07063386773122
Teegarden's Star b,Teegarden's Star,1,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,4.90634,0.00041,-0.00041,0.0,0.0259,0.0008,-0.0009,0.0,,,,,,,,,1.16,0.12,-0.11,0.0,0.00364977,0.00037756,-0.0003461,0.0,Msini,0.03,0.04,-0.02,0.0,1.08,0.08,-0.08,0.0,277.0,5.0,-5.0,0.0,0.0,<a refstr=DREIZLER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240200923D/abstract target=ref>Dreizler et al. 2024</a>,,3034.0,45.0,-45.0,0.0,0.12,0.012,-0.012,0.0,0.097,0.01,-0.01,0.0,-0.11,0.28,-0.28,0.0,[Fe/H],5.19,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397,15.13,0.2,-0.2,7.585,0.046,-0.046,12.2746,0.000992,-0.000992,2024-03-05,2024-02,2024-03-05,77.23718206268369
Kepler-438 b,Kepler-438,0,1,1,Transit,2015,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,35.23318,0.0002329,-0.0002329,0.0,0.1648,,,0.0,0.98,0.14,-0.11,0.0,0.08742989,0.01248998,-0.00981356,0.0,,,,,,,,,,0.0,,,0.0,1.31,0.56,-0.33,0.0,273.0,,,0.0,0.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,3688.0,73.0,-50.0,0.0,0.463,0.07,-0.05,0.0,0.479,0.06,-0.05,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.788,0.06,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h46m34.97s,281.6457236,+41d57m03.85s,41.9510686,,,,15.104,0.252,-0.252,11.199,0.02,-0.02,14.4852,0.001258,-0.001258,2014-11-18,2014-12-04,2014-11-18,76.82035918689706
Kepler-438 b,Kepler-438,0,1,1,Transit,2015,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,35.23318,0.0002329,-0.0002329,0.0,0.1648,,,0.0,0.98,0.14,-0.11,0.0,0.08742989,0.01248998,-0.00981356,0.0,,,,,,,,,,0.0,,,0.0,1.31,0.56,-0.33,0.0,273.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3688.0,73.0,-50.0,0.0,0.463,0.07,-0.05,0.0,0.479,0.06,-0.05,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.788,0.06,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h46m34.97s,281.6457236,+41d57m03.85s,41.9510686,,,,15.104,0.252,-0.252,11.199,0.02,-0.02,14.4852,0.001258,-0.001258,2014-11-21,2014-12-18,2014-11-21,76.82035918689706
Kepler-438 b,Kepler-438,0,1,1,Transit,2015,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,35.23318,0.0002329,-0.0002329,0.0,0.1648,,,0.0,0.98,0.14,-0.11,0.0,0.08742989,0.01248998,-0.00981356,0.0,,,,,,,,,,0.0,,,0.0,1.31,0.56,-0.33,0.0,273.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,3688.0,73.0,-50.0,0.0,0.463,0.07,-0.05,0.0,0.479,0.06,-0.05,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.788,0.06,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h46m34.97s,281.6457236,+41d57m03.85s,41.9510686,,,,15.104,0.252,-0.252,11.199,0.02,-0.02,14.4852,0.001258,-0.001258,2015-08-25,2015-09-24,2015-08-25,76.82035918689706
Teegarden's Star b,Teegarden's Star,0,1,3,Radial Velocity,2019,Calar Alto Observatory,Published Confirmed,0,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,4.91,0.0014,-0.0014,0.0,0.0252,0.0008,-0.0009,0.0,,,,,,,,,1.05,0.13,-0.12,0.0,0.00330365,0.00040902,-0.00037756,0.0,Msini,0.0,0.16,0.0,0.0,1.15,0.08,-0.08,0.0,,,,,0.0,<a refstr=ZECHMEISTER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..49Z/abstract target=ref>Zechmeister et al. 2019</a>,M7.0 V,2904.0,51.0,-51.0,0.0,0.107,0.004,-0.004,0.0,0.089,0.009,-0.009,0.0,-0.19,0.16,-0.16,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397,15.13,0.2,-0.2,7.585,0.046,-0.046,12.2746,0.000992,-0.000992,2019-06-24,2019-07,2019-06-27,75.78913684456099
TOI-700 d,TOI-700,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GILBERT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230103617G/abstract target=ref>Gilbert et al. 2023</a>,37.42396,0.00039,-0.00035,0.0,0.1633,0.0027,-0.0027,0.0,1.073,0.059,-0.054,0.0,0.09572681,0.00526364,-0.00481757,0.0,,,,,,,,,,0.042,0.045,-0.03,0.0,0.85,0.09,-0.1,0.0,,,,,0.0,<a refstr=GILBERT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230103617G/abstract target=ref>Gilbert et al. 2023</a>,M2.5 V,3459.0,65.0,-65.0,0.0,0.421,0.017,-0.015,0.0,0.415,0.021,-0.02,0.0,-0.07,0.11,-0.11,0.0,[Fe/H],4.809,0.034,-0.037,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m22.97s,97.0957165,-65d34m43.01s,-65.5786149,31.1265,0.0206,-0.0206,13.151,0.069,-0.069,8.634,0.023,-0.023,12.0665,0.000478,-0.000478,2023-01-18,2023-01,2023-01-18,73.16886868873418
Kepler-395 c,Kepler-395,0,1,2,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,34.9894475,0.0003378,-0.0003378,0.0,0.1561,,,0.0,1.25,0.15,-0.44,0.0,0.11151772,0.01338213,-0.03925424,0.0,,,,,,,,,,0.0,,,0.0,1.14,0.39,-0.74,0.0,264.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,3735.0,54.0,-164.0,0.0,0.4,0.05,-0.14,0.0,0.413,0.05,-0.15,0.0,-0.5,0.1,-0.4,0.0,[Fe/H],4.851,0.12,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m02.69s,293.5111889,+45d08m11.85s,45.1366252,421.382,8.0905,-8.0905,16.5919,0.046,-0.046,12.948,0.03,-0.03,15.9585,0.000809,-0.000809,2015-08-25,2015-09-24,2015-08-25,72.9743897841967
Kepler-395 c,Kepler-395,0,1,2,Transit,2014,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,34.9894475,0.0003378,-0.0003378,0.0,0.1561,,,0.0,1.25,0.15,-0.44,0.0,0.11151772,0.01338213,-0.03925424,0.0,,,,,,,,,,0.0,,,0.0,1.14,0.39,-0.74,0.0,264.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3735.0,54.0,-164.0,0.0,0.4,0.05,-0.14,0.0,0.413,0.05,-0.15,0.0,-0.5,0.1,-0.4,0.0,[Fe/H],4.851,0.12,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m02.69s,293.5111889,+45d08m11.85s,45.1366252,421.382,8.0905,-8.0905,16.5919,0.046,-0.046,12.948,0.03,-0.03,15.9585,0.000809,-0.000809,2014-11-21,2014-12-18,2014-11-21,72.9743897841967
Kepler-395 c,Kepler-395,0,1,2,Transit,2014,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,34.9894475,0.0003378,-0.0003378,0.0,0.1561,,,0.0,1.25,0.15,-0.44,0.0,0.11151772,0.01338213,-0.03925424,0.0,,,,,,,,,,0.0,,,0.0,1.14,0.39,-0.74,0.0,264.0,,,0.0,0.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,3735.0,54.0,-164.0,0.0,0.4,0.05,-0.14,0.0,0.413,0.05,-0.15,0.0,-0.5,0.1,-0.4,0.0,[Fe/H],4.851,0.12,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m02.69s,293.5111889,+45d08m11.85s,45.1366252,421.382,8.0905,-8.0905,16.5919,0.046,-0.046,12.948,0.03,-0.03,15.9585,0.000809,-0.000809,2014-11-18,2014-12-04,2014-11-18,72.9743897841967
